what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1323630980131
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1323630980131
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201102081640,"org.eclipse.epp.usagedata.gathering",1323630980131
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201102081640,"org.eclipse.epp.usagedata.recording",1323630980131
started,bundle,com.google.appengine.eclipse.core,2.3.1.r36v201105092302,"com.google.appengine.eclipse.core",1323630980131
started,bundle,com.google.gdt.eclipse.core,2.3.1.r36v201105092302,"com.google.gdt.eclipse.core",1323630980131
started,bundle,com.google.gdt.eclipse.designer,2.3.0.r36x201105061512,"com.google.gdt.eclipse.designer",1323630980131
started,bundle,com.google.gdt.eclipse.designer.UiBinder,2.3.0.r36x201105061512,"com.google.gdt.eclipse.designer.UiBinder",1323630980131
started,bundle,com.google.gdt.eclipse.designer.hosted,2.3.0.r36x201105061507,"com.google.gdt.eclipse.designer.hosted",1323630980131
started,bundle,com.google.gdt.eclipse.login,2.3.1.r36v201105092302,"com.google.gdt.eclipse.login",1323630980131
started,bundle,com.google.gdt.eclipse.managedapis,2.3.1.r36v201105092302,"com.google.gdt.eclipse.managedapis",1323630980131
started,bundle,com.google.gdt.eclipse.platform.e36,2.3.1.r36v201105092302,"com.google.gdt.eclipse.platform.e36",1323630980131
started,bundle,com.google.gdt.eclipse.platform.shared,2.3.1.r36v201105092302,"com.google.gdt.eclipse.platform.shared",1323630980131
started,bundle,com.google.gdt.eclipse.suite,2.3.1.r36v201105092302,"com.google.gdt.eclipse.suite",1323630980131
started,bundle,com.google.gwt.eclipse.core,2.3.1.r36v201105092302,"com.google.gwt.eclipse.core",1323630980131
started,bundle,org.eclipse.pde.launching,3.6.0.v20100601,"org.eclipse.pde.launching",1323630980131
started,bundle,org.eclipse.pde.ui,3.6.1.v20110210_r362,"org.eclipse.pde.ui",1323630980131
started,bundle,org.eclipse.ui.views.log,1.0.100.v20110210_r362,"org.eclipse.ui.views.log",1323630980131
started,bundle,org.eclipse.wb.core,0.9.0.r36x201105061447,"org.eclipse.wb.core",1323630980131
started,bundle,org.eclipse.wb.core.lib,0.9.0.r36x201105061447,"org.eclipse.wb.core.lib",1323630980131
started,bundle,org.eclipse.wb.core.xml,0.9.0.r36x201105061502,"org.eclipse.wb.core.xml",1323630980131
started,bundle,org.eclipse.wst.jsdt.debug.ui,1.0.0.v201005250108,"org.eclipse.wst.jsdt.debug.ui",1323630980131
os,sysinfo,,,"win32",1323630980135
arch,sysinfo,,,"x86_64",1323630980135
ws,sysinfo,,,"win32",1323630980135
locale,sysinfo,,,"en_US",1323630980135
processors,sysinfo,,,"4",1323630980135
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1323630980135
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1323630980135
java.specification.name,sysinfo,,,"Java Platform API Specification",1323630980135
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1323630980135
java.specification.version,sysinfo,,,"1.6",1323630980135
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1323630980135
java.version,sysinfo,,,"1.6.0_23",1323630980136
java.vm.info,sysinfo,,,"mixed mode",1323630980136
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1323630980136
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1323630980136
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1323630980136
java.vm.specification.version,sysinfo,,,"1.0",1323630980136
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1323630980136
java.vm.version,sysinfo,,,"19.0-b09",1323630980136
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.refresh",1323630980191
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1323630981329
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1323630983094
started,bundle,org.eclipse.cdt.make.core,7.0.0.201006141710,"org.eclipse.cdt.make.core",1323630984524
started,bundle,org.eclipse.cdt.managedbuilder.core,7.0.0.201006141710,"org.eclipse.cdt.managedbuilder.core",1323630984627
started,bundle,org.eclipse.cdt.core,5.2.0.201006141710,"org.eclipse.cdt.core",1323630984656
started,bundle,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui",1323630985181
started,bundle,org.eclipse.cdt.make.ui,7.0.0.201006141710,"org.eclipse.cdt.make.ui",1323630985298
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1323630991032
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1323630991215
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1323630991215
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.refresh",1323630992630
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1323630994851
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1323630995319
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1323630999751
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.refresh",1323631002406
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1323631006888
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1323631007031
opened,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1323631008687
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1323631010470
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1323631011337
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1323631011485
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1323631014991
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1323631015171
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1323631015284
