what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323626375137
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1323626376789
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323626378115
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323626378215
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1323626386769
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1323626413247
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1323626415235
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323626416742
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323626500068
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323626502208
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323626585136
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323626663934
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323628741523
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323628743592
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323630446632
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323630447687
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323630462001
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323630466648
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323630468129
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323630474829
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323630815734
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323630816717
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323630928376
started,bundle,org.eclipse.wst.jsdt.debug.core,1.0.0.v201006082045,"org.eclipse.wst.jsdt.debug.core",1323630930303
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323630930547
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1323630930981
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.201.v20100820_r361,"org.eclipse.pde.api.tools.ui",1323630930981
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.v20100601,"org.eclipse.pde.ds.ui",1323630930981
stopped,bundle,org.eclipse.pde.runtime,3.4.200.v20100601,"org.eclipse.pde.runtime",1323630930982
stopped,bundle,org.eclipse.pde.ua.ui,1.0.100.v20100504,"org.eclipse.pde.ua.ui",1323630930982
stopped,bundle,org.eclipse.pde.ui.templates,3.4.200.v20100601,"org.eclipse.pde.ui.templates",1323630930982
stopped,bundle,org.eclipse.wb.core.databinding.xml,0.9.0.r36x201105061502,"org.eclipse.wb.core.databinding.xml",1323630930982
stopped,bundle,org.eclipse.wb.core.databinding,0.9.0.r36x201105061447,"org.eclipse.wb.core.databinding",1323630930982
stopped,bundle,org.eclipse.pde.ui,3.6.1.v20110210_r362,"org.eclipse.pde.ui",1323630930985
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1323630931003
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1323630931003
stopped,bundle,org.eclipse.compare.win32,1.0.100.I20100505-1245,"org.eclipse.compare.win32",1323630931003
stopped,bundle,com.google.appengine.eclipse.sdkbundle,1.5.0.r36v201105092302,"com.google.appengine.eclipse.sdkbundle",1323630931003
stopped,bundle,com.google.gdt.eclipse.gph.e36,2.3.1.r36v201105092302,"com.google.gdt.eclipse.gph.e36",1323630931003
stopped,bundle,com.google.gdt.eclipse.gph.hge,2.3.1.r36v201105092302,"com.google.gdt.eclipse.gph.hge",1323630931003
stopped,bundle,com.google.gdt.eclipse.gph.subclipse,2.3.1.r36v201105092302,"com.google.gdt.eclipse.gph.subclipse",1323630931003
stopped,bundle,com.google.gdt.eclipse.gph.subversive,2.3.1.r36v201105092302,"com.google.gdt.eclipse.gph.subversive",1323630931003
stopped,bundle,com.google.gdt.eclipse.gph,2.3.1.r36v201105092302,"com.google.gdt.eclipse.gph",1323630931004
stopped,bundle,com.google.gdt.eclipse.managedapis,2.3.1.r36v201105092302,"com.google.gdt.eclipse.managedapis",1323630931009
stopped,bundle,com.google.gdt.eclipse.maven,2.3.1.r36v201105092302,"com.google.gdt.eclipse.maven",1323630931009
stopped,bundle,com.google.gdt.eclipse.suite,2.3.1.r36v201105092302,"com.google.gdt.eclipse.suite",1323630931010
stopped,bundle,com.google.appengine.eclipse.core,2.3.1.r36v201105092302,"com.google.appengine.eclipse.core",1323630931010
